"Country or Area","Year","Sex","Age","Source Year","Value","Value Footnotes"
"Australia","2015","Female","10 - 14","2017","690665","3"
"Australia","2015","Female","11","2016","138097",""
"Australia","2015","Female","12","2016","137187",""
"Australia","2015","Female","13","2016","136522",""
"Australia","2015","Female","14","2016","138357",""
"Australia","2015","Female","15","2016","139987",""
"Australia","2015","Female","15 - 19","2017","718558","3"
"Australia","2015","Female","16","2016","140546",""
"Australia","2015","Female","17","2016","141428",""
"Australia","2015","Female","18","2016","146059",""
"Australia","2015","Female","19","2016","150538",""
"Australia","2015","Female","20","2016","155591",""
"Australia","2015","Female","20 - 24","2017","807653","3"
"Australia","2015","Female","21","2016","156271",""
"Australia","2015","Female","22","2016","159351",""
"Australia","2015","Female","23","2016","164911",""
"Australia","2015","Female","24","2016","171529",""
"Australia","2015","Female","25","2016","174713",""
"Australia","2015","Female","25 - 29","2017","874149","3"
"Australia","2015","Female","26","2016","173404",""
"Australia","2015","Female","27","2016","173841",""
"Australia","2015","Female","28","2016","174914",""
"Australia","2015","Female","29","2016","177277",""
"Australia","2015","Female","30","2016","179053",""
"Australia","2015","Female","30 - 34","2017","873854","3"
"Australia","2015","Female","31","2016","177719",""
"Australia","2015","Female","32","2016","176924",""
"Australia","2015","Female","33","2016","171477",""
"Australia","2015","Female","34","2016","168681",""
"Australia","2015","Female","35","2016","162577",""
"Australia","2015","Female","35 - 39","2017","790227","3"
"Australia","2015","Female","36","2016","159427",""
"Australia","2015","Female","37","2016","156569",""
"Australia","2015","Female","38","2016","155817",""
"Australia","2015","Female","39","2016","155837",""
"Australia","2015","Female","40","2016","158127",""
"Australia","2015","Female","40 - 44","2017","835408","3"
"Australia","2015","Female","41","2016","161843",""
"Australia","2015","Female","42","2016","166041",""
"Australia","2015","Female","43","2016","173210",""
"Australia","2015","Female","44","2016","176187",""
"Australia","2015","Female","45","2016","165026",""
"Australia","2015","Female","45 - 49","2017","789445","3"
"Australia","2015","Female","46","2016","163276",""
"Australia","2015","Female","47","2016","156259",""
"Australia","2015","Female","48","2016","152630",""
"Australia","2015","Female","49","2016","152254",""
"Australia","2015","Female","50","2016","153762",""
"Australia","2015","Female","50 - 54","2017","788697","3"
"Australia","2015","Female","51","2016","157566",""
"Australia","2015","Female","52","2016","159639",""
"Australia","2015","Female","53","2016","158935",""
"Australia","2015","Female","54","2016","158795",""
"Australia","2015","Female","55","2016","153196",""
"Australia","2015","Female","55 - 59","2017","736365","3"
"Australia","2015","Female","56","2016","150664",""
"Australia","2015","Female","57","2016","147525",""
"Australia","2015","Female","58","2016","143785",""
"Australia","2015","Female","59","2016","141195",""
"Australia","2015","Female","60","2016","137713",""
"Australia","2015","Female","60 - 64","2017","653635","3"
"Australia","2015","Female","61","2016","133528",""
"Australia","2015","Female","62","2016","131517",""
"Australia","2015","Female","63","2016","126442",""
"Australia","2015","Female","64","2016","124435",""
"Australia","2015","Female","65","2016","121900",""
"Australia","2015","Female","65 - 69","2017","583032","3"
"Australia","2015","Female","66","2016","117614",""
"Australia","2015","Female","67","2016","118088",""
"Australia","2015","Female","68","2016","122254",""
"Australia","2015","Female","69","2016","103176",""
"Australia","2015","Female","70","2016","99301",""
"Australia","2015","Female","70 - 74","2017","438492","3"
"Australia","2015","Female","71","2016","94429",""
"Australia","2015","Female","72","2016","85170",""
"Australia","2015","Female","73","2016","82767",""
"Australia","2015","Female","74","2016","76825",""
"Australia","2015","Female","75","2016","73344",""
"Australia","2015","Female","75 - 79","2017","331842","3"
"Australia","2015","Female","76","2016","69951",""
"Australia","2015","Female","77","2016","65752",""
"Australia","2015","Female","78","2016","62408",""
"Australia","2015","Female","79","2016","60387",""
"Australia","2015","Female","80","2016","56333",""
"Australia","2015","Female","80 - 84","2017","253313","3"
"Australia","2015","Female","81","2016","52499",""
"Australia","2015","Female","82","2016","50385",""
"Australia","2015","Female","83","2016","47364",""
"Australia","2015","Female","84","2016","46732",""
"Australia","2015","Female","85","2016","43855",""
"Australia","2015","Female","85 - 89","2017","182673","3"
"Australia","2015","Female","86","2016","39954",""
"Australia","2015","Female","87","2016","36717",""
"Australia","2015","Female","88","2016","32964",""
"Australia","2015","Female","89","2016","29183",""
"Australia","2015","Female","90","2016","25436",""
"Australia","2015","Female","90 - 94","2017","90703","3"
