"INDICATOR","HFA_589"

"HFA_589","Number of abortions, age under 20 years"

"UNIT_TYPE","Unit"
"NUM_PROC","number of procedures"

"EXTERNID","ID in the originating data source"

"DATA_SOURCE","Data source"
"HFA","European Health for All database"

"DATA_TYPE_REPRESENTATION","Data type representation"
"COUNT","Count"

"DATA_SET","Data set"
"HFA","European Health for All database (WHO)"

"DATA_MASK","Mask for controlling the output format of values"

"SEX","Sex"
"FEMALE","Female"
"MALE","Male"
"ALL","All"

"COUNTRY","COUNTRY_GRP","SEX","YEAR","VALUE"
"TKM","","ALL","2000","1640"
"GRC","","ALL","2010","656"
"","CIS","ALL","2005","188260"
"ISR","","ALL","2002","2431"
"GEO","","ALL","2001","858"
"CZE","","ALL","2012","1734"
"GBR","","ALL","1991","37640"
"MLT","","ALL","1989","0"
"HRV","","ALL","2015","226"
"ITA","","ALL","1984","18585"
"RUS","","ALL","2007","159882"
"SWE","","ALL","1983","5311"
"","NORDIC","ALL","2011","12501"
"RUS","","ALL","2005","147940"
"MDA","","ALL","1994","5521"
"RUS","","ALL","2000","194883"
"ISL","","ALL","1983","164"
"","NORDIC","ALL","2010","13352"
"ISL","","ALL","1984","175"
"CZE","","ALL","1986","6733"
"ITA","","ALL","2011","9230"
"ITA","","ALL","1987","13995"
"ITA","","ALL","1989","12630"
"CZE","","ALL","1989","9138"
"FIN","","ALL","1989","2481"
"UKR","","ALL","2005","19814"
"GEO","","ALL","1995","3503"
"FRA","","ALL","1998","25478.37"
"MNE","","ALL","2012","21"
"SVN","","ALL","2003","552"
"SVN","","ALL","1993","1077"
"SVN","","ALL","1991","1213"
"","NORDIC","ALL","1994","10814"
"TKM","","ALL","2005","1246"
"","CARINFONET","ALL","1995","37770"
"SWE","","ALL","1996","4362"
"TKM","","ALL","2008","1080"
"AZE","","ALL","2013","1147"
"DNK","","ALL","2012","2413"
"RUS","","ALL","2014","33538"
"FIN","","ALL","2015","1248"
"DEU","","ALL","2008","13775"
"GRC","","ALL","2012","648"
"DEU","","ALL","2015","8553"
"TKM","","ALL","2013","828"
"CZE","","ALL","1999","3539"
"DEU","","ALL","2014","8806"
"DNK","","ALL","1986","2979"
"SWE","","ALL","1984","5188"
"HRV","","ALL","1994","1020"
"","NORDIC","ALL","2009","14565"
"KGZ","","ALL","1995","2513"
"CZE","","ALL","2003","2580"
"NOR","","ALL","1991","2850"
"ISL","","ALL","1981","132"
"BEL","","ALL","1994","1384"
"TJK","","ALL","1996","1548"
"KGZ","","ALL","1993","4611"
"CZE","","ALL","2014","1506"
"BEL","","ALL","2003","2162"
"","NORDIC","ALL","2005","14038"
"BGR","","ALL","2015","2334"
"PRT","","ALL","2011","2358"
